;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 16/06/24 10:37:48 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_System.c,139 :: 		
0x0036	0x202F      	CALL       _____DoICP
0x0037	0x118A      	BCF        PCLATH, 3
0x0038	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x0039	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x003A	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x003B	0x0ACA      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x003C	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x003D	0x0ACB      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x003E	0x03F0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x003F	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x0040	0x2836      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x0041	0x0008      	RETURN
; end of ___CC2DW
_Div_16x16_S:
;__Lib_Math.c,479 :: 		
;__Lib_Math.c,487 :: 		
0x0042	0x1283      	BCF        STATUS, 5
0x0043	0x1303      	BCF        STATUS, 6
0x0044	0x0874      	MOVF       R4, 0
0x0045	0x3A00      	XORLW      0
0x0046	0x1D03      	BTFSS      STATUS, 2
0x0047	0x2851      	GOTO       L_Div_16x16_S0
;__Lib_Math.c,488 :: 		
0x0048	0x0875      	MOVF       R5, 0
0x0049	0x3A00      	XORLW      0
0x004A	0x1D03      	BTFSS      STATUS, 2
0x004B	0x2851      	GOTO       L_Div_16x16_S1
;__Lib_Math.c,489 :: 		
0x004C	0x30FF      	MOVLW      255
0x004D	0x00F0      	MOVWF      R0
;__Lib_Math.c,490 :: 		
0x004E	0x307F      	MOVLW      127
0x004F	0x00F1      	MOVWF      R1
;__Lib_Math.c,491 :: 		
0x0050	0x28AA      	GOTO       L_end_Div_16x16_S
;__Lib_Math.c,492 :: 		
L_Div_16x16_S1:
L_Div_16x16_S0:
;__Lib_Math.c,495 :: 		
0x0051	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,496 :: 		
0x0052	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,497 :: 		
0x0053	0x01FD      	CLRF       R13
;__Lib_Math.c,498 :: 		
0x0054	0x01F9      	CLRF       R9
;__Lib_Math.c,499 :: 		
0x0055	0x01F8      	CLRF       R8
;__Lib_Math.c,500 :: 		
0x0056	0x0871      	MOVF       R1, 0
;__Lib_Math.c,501 :: 		
0x0057	0x0470      	IORWF      R0, 0
;__Lib_Math.c,502 :: 		
0x0058	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,503 :: 		
0x0059	0x3400      	RETLW      0
;__Lib_Math.c,505 :: 		
0x005A	0x0871      	MOVF       R1, 0
;__Lib_Math.c,506 :: 		
0x005B	0x0675      	XORWF      R5, 0
;__Lib_Math.c,507 :: 		
0x005C	0x00FA      	MOVWF      R10
;__Lib_Math.c,508 :: 		
0x005D	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,509 :: 		
0x005E	0x09FD      	COMF       R13, 1
;__Lib_Math.c,511 :: 		
0x005F	0x01FB      	CLRF       R11
;__Lib_Math.c,513 :: 		
0x0060	0x1FF5      	BTFSS      R5, 7
;__Lib_Math.c,514 :: 		
0x0061	0x2867      	GOTO       $+6
;__Lib_Math.c,516 :: 		
0x0062	0x09F4      	COMF       R4, 1
;__Lib_Math.c,517 :: 		
0x0063	0x09F5      	COMF       R5, 1
;__Lib_Math.c,518 :: 		
0x0064	0x0AF4      	INCF       R4, 1
;__Lib_Math.c,519 :: 		
0x0065	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,520 :: 		
0x0066	0x0AF5      	INCF       R5, 1
;__Lib_Math.c,522 :: 		
0x0067	0x1FF1      	BTFSS      R1, 7
;__Lib_Math.c,523 :: 		
0x0068	0x286E      	GOTO       $+6
;__Lib_Math.c,525 :: 		
0x0069	0x09F0      	COMF       R0, 1
;__Lib_Math.c,526 :: 		
0x006A	0x09F1      	COMF       R1, 1
;__Lib_Math.c,527 :: 		
0x006B	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,528 :: 		
0x006C	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,529 :: 		
0x006D	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,531 :: 		
0x006E	0x0871      	MOVF       R1, 0
;__Lib_Math.c,532 :: 		
0x006F	0x0475      	IORWF      R5, 0
;__Lib_Math.c,533 :: 		
0x0070	0x00FA      	MOVWF      R10
;__Lib_Math.c,534 :: 		
0x0071	0x1BFA      	BTFSC      R10, 7
;__Lib_Math.c,535 :: 		
0x0072	0x2883      	GOTO       $+17
;__Lib_Math.c,537 :: 		
0x0073	0x2003      	CALL       _Div_16x16_S_L
;__Lib_Math.c,539 :: 		
0x0074	0x187B      	BTFSC      R11, 0
;__Lib_Math.c,540 :: 		
0x0075	0x2896      	GOTO       $+33
;__Lib_Math.c,542 :: 		
0x0076	0x1FFD      	BTFSS      R13, 7
;__Lib_Math.c,543 :: 		
0x0077	0x3400      	RETLW      0
;__Lib_Math.c,545 :: 		
0x0078	0x09F0      	COMF       R0, 1
;__Lib_Math.c,546 :: 		
0x0079	0x09F1      	COMF       R1, 1
;__Lib_Math.c,547 :: 		
0x007A	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,548 :: 		
0x007B	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,549 :: 		
0x007C	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,551 :: 		
0x007D	0x09F8      	COMF       R8, 1
;__Lib_Math.c,552 :: 		
0x007E	0x09F9      	COMF       R9, 1
;__Lib_Math.c,553 :: 		
0x007F	0x0AF8      	INCF       R8, 1
;__Lib_Math.c,554 :: 		
0x0080	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,555 :: 		
0x0081	0x0AF9      	INCF       R9, 1
;__Lib_Math.c,557 :: 		
0x0082	0x3400      	RETLW      0
;__Lib_Math.c,559 :: 		
0x0083	0x1FF5      	BTFSS      R5, 7
;__Lib_Math.c,560 :: 		
0x0084	0x2892      	GOTO       $+14
;__Lib_Math.c,561 :: 		
0x0085	0x1BF1      	BTFSC      R1, 7
;__Lib_Math.c,562 :: 		
0x0086	0x288E      	GOTO       $+8
;__Lib_Math.c,563 :: 		
0x0087	0x0871      	MOVF       R1, 0
;__Lib_Math.c,564 :: 		
0x0088	0x00F9      	MOVWF      R9
;__Lib_Math.c,565 :: 		
0x0089	0x0870      	MOVF       R0, 0
;__Lib_Math.c,566 :: 		
0x008A	0x00F8      	MOVWF      R8
;__Lib_Math.c,567 :: 		
0x008B	0x01F1      	CLRF       R1
;__Lib_Math.c,568 :: 		
0x008C	0x01F0      	CLRF       R0
;__Lib_Math.c,569 :: 		
0x008D	0x2876      	GOTO       $-23
;__Lib_Math.c,570 :: 		
0x008E	0x01F1      	CLRF       R1
;__Lib_Math.c,571 :: 		
0x008F	0x01F0      	CLRF       R0
;__Lib_Math.c,572 :: 		
0x0090	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,573 :: 		
0x0091	0x3400      	RETLW      0
;__Lib_Math.c,575 :: 		
0x0092	0x09F1      	COMF       R1, 1
;__Lib_Math.c,576 :: 		
0x0093	0x09F0      	COMF       R0, 1
;__Lib_Math.c,577 :: 		
0x0094	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,578 :: 		
0x0095	0x2873      	GOTO       $-34
;__Lib_Math.c,580 :: 		
0x0096	0x0AF8      	INCF       R8, 1
;__Lib_Math.c,581 :: 		
0x0097	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,582 :: 		
0x0098	0x0AF9      	INCF       R9, 1
;__Lib_Math.c,583 :: 		
0x0099	0x0874      	MOVF       R4, 0
;__Lib_Math.c,584 :: 		
0x009A	0x0278      	SUBWF      R8, 0
;__Lib_Math.c,585 :: 		
0x009B	0x1D03      	BTFSS      STATUS, 2
;__Lib_Math.c,586 :: 		
0x009C	0x2876      	GOTO       $-38
;__Lib_Math.c,587 :: 		
0x009D	0x0875      	MOVF       R5, 0
;__Lib_Math.c,588 :: 		
0x009E	0x0279      	SUBWF      R9, 0
;__Lib_Math.c,589 :: 		
0x009F	0x1D03      	BTFSS      STATUS, 2
;__Lib_Math.c,590 :: 		
0x00A0	0x2876      	GOTO       $-42
;__Lib_Math.c,591 :: 		
0x00A1	0x01F9      	CLRF       R9
;__Lib_Math.c,592 :: 		
0x00A2	0x01F8      	CLRF       R8
;__Lib_Math.c,593 :: 		
0x00A3	0x0AF0      	INCF       R0, 1
;__Lib_Math.c,594 :: 		
0x00A4	0x1903      	BTFSC      STATUS, 2
;__Lib_Math.c,595 :: 		
0x00A5	0x0AF1      	INCF       R1, 1
;__Lib_Math.c,596 :: 		
0x00A6	0x1FF1      	BTFSS      R1, 7
;__Lib_Math.c,597 :: 		
0x00A7	0x2876      	GOTO       $-49
;__Lib_Math.c,598 :: 		
0x00A8	0x0000      	NOP
;__Lib_Math.c,599 :: 		
0x00A9	0x34FF      	RETLW      255
;__Lib_Math.c,601 :: 		
L_end_Div_16x16_S:
0x00AA	0x0008      	RETURN
; end of _Div_16x16_S
_main:
0x00AB	0x21E2      	CALL       482
;Timer1AsyncOra.c,13 :: 		void main() {
;Timer1AsyncOra.c,14 :: 		T1CON.TMR1CS=1; //external clock , Kulso orajel
0x00AC	0x1283      	BCF        STATUS, 5
0x00AD	0x1303      	BCF        STATUS, 6
0x00AE	0x1490      	BSF        T1CON, 1
;Timer1AsyncOra.c,15 :: 		T1CON.T1CKPS1=0;// elooszto (prescaler)
0x00AF	0x1290      	BCF        T1CON, 5
;Timer1AsyncOra.c,16 :: 		T1CON.T1CKPS0=0;// elooszto (prescaler)
0x00B0	0x1210      	BCF        T1CON, 4
;Timer1AsyncOra.c,17 :: 		T1CON.T1SYNC=1;// aszinkron mukodes (asynchronous )
0x00B1	0x1510      	BSF        T1CON, 2
;Timer1AsyncOra.c,18 :: 		T1CON.TMR1ON=1;// Timer 1 bekapcsol
0x00B2	0x1410      	BSF        T1CON, 0
;Timer1AsyncOra.c,19 :: 		T1CON.T1OSCEN=1;// kulso orajel -> kell , external clock
0x00B3	0x1590      	BSF        T1CON, 3
;Timer1AsyncOra.c,20 :: 		PIR1.TMR1IF =0;// owerflow torlese , nem csordul tul
0x00B4	0x100C      	BCF        PIR1, 0
;Timer1AsyncOra.c,21 :: 		INTCON.GIE =1;// interrupt engedelyezese
0x00B5	0x178B      	BSF        INTCON, 7
;Timer1AsyncOra.c,22 :: 		INTCON.PEIE=1;// Peripheral interrupt engedelyezese
0x00B6	0x170B      	BSF        INTCON, 6
;Timer1AsyncOra.c,23 :: 		INTCON.RBIE=0;
0x00B7	0x118B      	BCF        INTCON, 3
;Timer1AsyncOra.c,24 :: 		TRISD = 0;
0x00B8	0x1683      	BSF        STATUS, 5
0x00B9	0x0188      	CLRF       TRISD
;Timer1AsyncOra.c,25 :: 		TRISB = 0b00001111; // nem lehet az egeszet , mivel problemat okoz
0x00BA	0x300F      	MOVLW      15
0x00BB	0x0086      	MOVWF      TRISB
;Timer1AsyncOra.c,26 :: 		PORTD = 0;
0x00BC	0x1283      	BCF        STATUS, 5
0x00BD	0x0188      	CLRF       PORTD
;Timer1AsyncOra.c,27 :: 		TMR1H = 0x80;
0x00BE	0x3080      	MOVLW      128
0x00BF	0x008F      	MOVWF      TMR1H
;Timer1AsyncOra.c,28 :: 		TMR1L = 0;
0x00C0	0x018E      	CLRF       TMR1L
;Timer1AsyncOra.c,29 :: 		while(1){
L_main0:
;Timer1AsyncOra.c,30 :: 		szamlalo++;
0x00C1	0x0AA0      	INCF       _szamlalo, 1
0x00C2	0x1903      	BTFSC      STATUS, 2
0x00C3	0x0AA1      	INCF       _szamlalo+1, 1
;Timer1AsyncOra.c,31 :: 		if(PIR1.TMR1IF){
0x00C4	0x1C0C      	BTFSS      PIR1, 0
0x00C5	0x28CD      	GOTO       L_main2
;Timer1AsyncOra.c,32 :: 		PIR1.TMR1IF=0;
0x00C6	0x100C      	BCF        PIR1, 0
;Timer1AsyncOra.c,33 :: 		TMR1H = 0x80; // testing if += makes a DIFFERENCE
0x00C7	0x3080      	MOVLW      128
0x00C8	0x008F      	MOVWF      TMR1H
;Timer1AsyncOra.c,34 :: 		TMR1L = 0;
0x00C9	0x018E      	CLRF       TMR1L
;Timer1AsyncOra.c,35 :: 		masodp++;
0x00CA	0x0AA2      	INCF       _masodp, 1
0x00CB	0x1903      	BTFSC      STATUS, 2
0x00CC	0x0AA3      	INCF       _masodp+1, 1
;Timer1AsyncOra.c,37 :: 		}
L_main2:
;Timer1AsyncOra.c,39 :: 		if(masodp>59){
0x00CD	0x3080      	MOVLW      128
0x00CE	0x00F0      	MOVWF      R0
0x00CF	0x3080      	MOVLW      128
0x00D0	0x0623      	XORWF      _masodp+1, 0
0x00D1	0x0270      	SUBWF      R0, 0
0x00D2	0x1D03      	BTFSS      STATUS, 2
0x00D3	0x28D6      	GOTO       L__main21
0x00D4	0x0822      	MOVF       _masodp, 0
0x00D5	0x3C3B      	SUBLW      59
L__main21:
0x00D6	0x1803      	BTFSC      STATUS, 0
0x00D7	0x28DD      	GOTO       L_main3
;Timer1AsyncOra.c,40 :: 		masodp=0;
0x00D8	0x01A2      	CLRF       _masodp
0x00D9	0x01A3      	CLRF       _masodp+1
;Timer1AsyncOra.c,41 :: 		perc2++;
0x00DA	0x0AC4      	INCF       _perc2, 1
0x00DB	0x1903      	BTFSC      STATUS, 2
0x00DC	0x0AC5      	INCF       _perc2+1, 1
;Timer1AsyncOra.c,42 :: 		}
L_main3:
;Timer1AsyncOra.c,43 :: 		if(perc2>9){
0x00DD	0x3080      	MOVLW      128
0x00DE	0x00F0      	MOVWF      R0
0x00DF	0x3080      	MOVLW      128
0x00E0	0x0645      	XORWF      _perc2+1, 0
0x00E1	0x0270      	SUBWF      R0, 0
0x00E2	0x1D03      	BTFSS      STATUS, 2
0x00E3	0x28E6      	GOTO       L__main22
0x00E4	0x0844      	MOVF       _perc2, 0
0x00E5	0x3C09      	SUBLW      9
L__main22:
0x00E6	0x1803      	BTFSC      STATUS, 0
0x00E7	0x28ED      	GOTO       L_main4
;Timer1AsyncOra.c,44 :: 		perc1++;
0x00E8	0x0AC6      	INCF       _perc1, 1
0x00E9	0x1903      	BTFSC      STATUS, 2
0x00EA	0x0AC7      	INCF       _perc1+1, 1
;Timer1AsyncOra.c,45 :: 		perc2=0;
0x00EB	0x01C4      	CLRF       _perc2
0x00EC	0x01C5      	CLRF       _perc2+1
;Timer1AsyncOra.c,46 :: 		}
L_main4:
;Timer1AsyncOra.c,47 :: 		if(perc1==6 && perc2==0){
0x00ED	0x3000      	MOVLW      0
0x00EE	0x0647      	XORWF      _perc1+1, 0
0x00EF	0x1D03      	BTFSS      STATUS, 2
0x00F0	0x28F3      	GOTO       L__main23
0x00F1	0x3006      	MOVLW      6
0x00F2	0x0646      	XORWF      _perc1, 0
L__main23:
0x00F3	0x1D03      	BTFSS      STATUS, 2
0x00F4	0x2904      	GOTO       L_main7
0x00F5	0x3000      	MOVLW      0
0x00F6	0x0645      	XORWF      _perc2+1, 0
0x00F7	0x1D03      	BTFSS      STATUS, 2
0x00F8	0x28FB      	GOTO       L__main24
0x00F9	0x3000      	MOVLW      0
0x00FA	0x0644      	XORWF      _perc2, 0
L__main24:
0x00FB	0x1D03      	BTFSS      STATUS, 2
0x00FC	0x2904      	GOTO       L_main7
L__main20:
;Timer1AsyncOra.c,48 :: 		ora2++;
0x00FD	0x0AC8      	INCF       _ora2, 1
0x00FE	0x1903      	BTFSC      STATUS, 2
0x00FF	0x0AC9      	INCF       _ora2+1, 1
;Timer1AsyncOra.c,49 :: 		perc1=0;
0x0100	0x01C6      	CLRF       _perc1
0x0101	0x01C7      	CLRF       _perc1+1
;Timer1AsyncOra.c,50 :: 		perc2=0;
0x0102	0x01C4      	CLRF       _perc2
0x0103	0x01C5      	CLRF       _perc2+1
;Timer1AsyncOra.c,51 :: 		}
L_main7:
;Timer1AsyncOra.c,52 :: 		if(ora2==10){
0x0104	0x3000      	MOVLW      0
0x0105	0x0649      	XORWF      _ora2+1, 0
0x0106	0x1D03      	BTFSS      STATUS, 2
0x0107	0x290A      	GOTO       L__main25
0x0108	0x300A      	MOVLW      10
0x0109	0x0648      	XORWF      _ora2, 0
L__main25:
0x010A	0x1D03      	BTFSS      STATUS, 2
0x010B	0x2911      	GOTO       L_main8
;Timer1AsyncOra.c,53 :: 		ora1++;
0x010C	0x0AC2      	INCF       _ora1, 1
0x010D	0x1903      	BTFSC      STATUS, 2
0x010E	0x0AC3      	INCF       _ora1+1, 1
;Timer1AsyncOra.c,54 :: 		ora2=0;
0x010F	0x01C8      	CLRF       _ora2
0x0110	0x01C9      	CLRF       _ora2+1
;Timer1AsyncOra.c,55 :: 		}
L_main8:
;Timer1AsyncOra.c,56 :: 		if(ora2==4 && ora1==2){
0x0111	0x3000      	MOVLW      0
0x0112	0x0649      	XORWF      _ora2+1, 0
0x0113	0x1D03      	BTFSS      STATUS, 2
0x0114	0x2917      	GOTO       L__main26
0x0115	0x3004      	MOVLW      4
0x0116	0x0648      	XORWF      _ora2, 0
L__main26:
0x0117	0x1D03      	BTFSS      STATUS, 2
0x0118	0x2925      	GOTO       L_main11
0x0119	0x3000      	MOVLW      0
0x011A	0x0643      	XORWF      _ora1+1, 0
0x011B	0x1D03      	BTFSS      STATUS, 2
0x011C	0x291F      	GOTO       L__main27
0x011D	0x3002      	MOVLW      2
0x011E	0x0642      	XORWF      _ora1, 0
L__main27:
0x011F	0x1D03      	BTFSS      STATUS, 2
0x0120	0x2925      	GOTO       L_main11
L__main19:
;Timer1AsyncOra.c,57 :: 		ora1=0;
0x0121	0x01C2      	CLRF       _ora1
0x0122	0x01C3      	CLRF       _ora1+1
;Timer1AsyncOra.c,58 :: 		ora2=0;
0x0123	0x01C8      	CLRF       _ora2
0x0124	0x01C9      	CLRF       _ora2+1
;Timer1AsyncOra.c,59 :: 		}
L_main11:
;Timer1AsyncOra.c,61 :: 		if(szamlalo % 12 ==0){
0x0125	0x300C      	MOVLW      12
0x0126	0x00F4      	MOVWF      R4
0x0127	0x3000      	MOVLW      0
0x0128	0x00F5      	MOVWF      R4+1
0x0129	0x0820      	MOVF       _szamlalo, 0
0x012A	0x00F0      	MOVWF      R0
0x012B	0x0821      	MOVF       _szamlalo+1, 0
0x012C	0x00F1      	MOVWF      R0+1
0x012D	0x2042      	CALL       _Div_16x16_S
0x012E	0x0878      	MOVF       R8, 0
0x012F	0x00F0      	MOVWF      R0
0x0130	0x0879      	MOVF       R8+1, 0
0x0131	0x00F1      	MOVWF      R0+1
0x0132	0x3000      	MOVLW      0
0x0133	0x0671      	XORWF      R0+1, 0
0x0134	0x1D03      	BTFSS      STATUS, 2
0x0135	0x2938      	GOTO       L__main28
0x0136	0x3000      	MOVLW      0
0x0137	0x0670      	XORWF      R0, 0
L__main28:
0x0138	0x1D03      	BTFSS      STATUS, 2
0x0139	0x2961      	GOTO       L_main12
;Timer1AsyncOra.c,62 :: 		PORTD = 0;
0x013A	0x0188      	CLRF       PORTD
;Timer1AsyncOra.c,63 :: 		kijelzo++;
0x013B	0x0AA4      	INCF       _kijelzo, 1
0x013C	0x1903      	BTFSC      STATUS, 2
0x013D	0x0AA5      	INCF       _kijelzo+1, 1
;Timer1AsyncOra.c,64 :: 		if(kijelzo<4){
0x013E	0x3080      	MOVLW      128
0x013F	0x0625      	XORWF      _kijelzo+1, 0
0x0140	0x00F0      	MOVWF      R0
0x0141	0x3080      	MOVLW      128
0x0142	0x0270      	SUBWF      R0, 0
0x0143	0x1D03      	BTFSS      STATUS, 2
0x0144	0x2947      	GOTO       L__main29
0x0145	0x3004      	MOVLW      4
0x0146	0x0224      	SUBWF      _kijelzo, 0
L__main29:
0x0147	0x1803      	BTFSC      STATUS, 0
0x0148	0x2955      	GOTO       L_main13
;Timer1AsyncOra.c,65 :: 		PORTB = KI[kijelzo];
0x0149	0x0824      	MOVF       _kijelzo, 0
0x014A	0x00F0      	MOVWF      R0
0x014B	0x0825      	MOVF       _kijelzo+1, 0
0x014C	0x00F1      	MOVWF      R0+1
0x014D	0x0DF0      	RLF        R0, 1
0x014E	0x0DF1      	RLF        R0+1, 1
0x014F	0x1070      	BCF        R0, 0
0x0150	0x0870      	MOVF       R0, 0
0x0151	0x3E26      	ADDLW      _KI
0x0152	0x0084      	MOVWF      FSR
0x0153	0x0800      	MOVF       INDF, 0
0x0154	0x0086      	MOVWF      PORTB
;Timer1AsyncOra.c,66 :: 		}
L_main13:
;Timer1AsyncOra.c,67 :: 		if(kijelzo==4){
0x0155	0x3000      	MOVLW      0
0x0156	0x0625      	XORWF      _kijelzo+1, 0
0x0157	0x1D03      	BTFSS      STATUS, 2
0x0158	0x295B      	GOTO       L__main30
0x0159	0x3004      	MOVLW      4
0x015A	0x0624      	XORWF      _kijelzo, 0
L__main30:
0x015B	0x1D03      	BTFSS      STATUS, 2
0x015C	0x2961      	GOTO       L_main14
;Timer1AsyncOra.c,68 :: 		kijelzo=-1;
0x015D	0x30FF      	MOVLW      255
0x015E	0x00A4      	MOVWF      _kijelzo
0x015F	0x30FF      	MOVLW      255
0x0160	0x00A5      	MOVWF      _kijelzo+1
;Timer1AsyncOra.c,69 :: 		}
L_main14:
;Timer1AsyncOra.c,71 :: 		}
L_main12:
;Timer1AsyncOra.c,72 :: 		if(kijelzo==0){
0x0161	0x3000      	MOVLW      0
0x0162	0x0625      	XORWF      _kijelzo+1, 0
0x0163	0x1D03      	BTFSS      STATUS, 2
0x0164	0x2967      	GOTO       L__main31
0x0165	0x3000      	MOVLW      0
0x0166	0x0624      	XORWF      _kijelzo, 0
L__main31:
0x0167	0x1D03      	BTFSS      STATUS, 2
0x0168	0x2975      	GOTO       L_main15
;Timer1AsyncOra.c,73 :: 		PORTD = szamok[ora1];
0x0169	0x0842      	MOVF       _ora1, 0
0x016A	0x00F0      	MOVWF      R0
0x016B	0x0843      	MOVF       _ora1+1, 0
0x016C	0x00F1      	MOVWF      R0+1
0x016D	0x0DF0      	RLF        R0, 1
0x016E	0x0DF1      	RLF        R0+1, 1
0x016F	0x1070      	BCF        R0, 0
0x0170	0x0870      	MOVF       R0, 0
0x0171	0x3E2E      	ADDLW      _szamok
0x0172	0x0084      	MOVWF      FSR
0x0173	0x0800      	MOVF       INDF, 0
0x0174	0x0088      	MOVWF      PORTD
;Timer1AsyncOra.c,74 :: 		}
L_main15:
;Timer1AsyncOra.c,75 :: 		if(kijelzo==1){
0x0175	0x3000      	MOVLW      0
0x0176	0x0625      	XORWF      _kijelzo+1, 0
0x0177	0x1D03      	BTFSS      STATUS, 2
0x0178	0x297B      	GOTO       L__main32
0x0179	0x3001      	MOVLW      1
0x017A	0x0624      	XORWF      _kijelzo, 0
L__main32:
0x017B	0x1D03      	BTFSS      STATUS, 2
0x017C	0x2989      	GOTO       L_main16
;Timer1AsyncOra.c,76 :: 		PORTD = szamok[ora2];
0x017D	0x0848      	MOVF       _ora2, 0
